Patient : {{ patient.patient_name }}
Doigt : {{ patient.finger }}
Phalange : {{ patient.phalange }}
Opérateur : {{ patient.operator }}
Date de sauvegarde : 2025-05-23 11:35:27

Temps (mm:ss) F    | Force (N)    | Temps (mm:ss) A    | Amplitude (°)
34:14              | 0.00         | 00:00              | 0.00        
34:18              | 0.10         | 34:14              | 7.00        
34:18              | 0.00         | 34:20              | 6.00        
34:18              | 0.10         | 34:20              | 6.00        
34:18              | 0.10         | 34:20              | 5.00        
34:19              | 0.00         | 34:20              | 5.00        
34:19              | 0.00         | 34:21              | 6.00        
34:22              | 0.10         | 34:21              | 6.00        
34:23              | 0.10         | 34:21              | 5.00        
34:23              | 0.00         | 34:21              | 4.00        
34:24              | 0.00         | 34:22              | 4.00        
34:24              | 0.10         | 34:22              | 3.00        
34:25              | 0.00         | 34:22              | 3.00        
34:26              | 0.10         | 34:22              | 2.00        
34:26              | 0.10         | 34:22              | 2.00        
34:27              | 0.00         | 34:22              | 1.00        
34:27              | 0.00         | 34:22              | 1.00        
34:31              | 0.10         | 34:22              | 0.00        
34:32              | 0.00         | 34:22              | 0.00        
34:35              | 0.10         | 34:23              | 1.00        
34:35              | 0.00         | 34:23              | 1.00        
34:51              | 0.10         | 34:23              | 2.00        
34:52              | 0.00         | 34:24              | 2.00        
34:52              | 0.10         | 34:24              | 1.00        
34:53              | 0.00         | 34:24              | 1.00        
34:54              | 0.10         | 34:25              | 0.00        
34:54              | 0.10         | 34:25              | 0.00        
34:54              | 0.00         | 34:25              | 1.00        
34:54              | 0.00         | 34:25              | 1.00        
34:56              | 0.10         | 34:25              | 2.00        
34:56              | 0.10         | 34:26              | 2.00        
34:56              | 0.00         | 34:26              | 1.00        
34:56              | 0.00         | 34:26              | 1.00        
35:00              | 0.10         | 34:26              | 2.00        
35:00              | 0.00         | 34:26              | 2.00        
35:00              | 0.10         | 34:26              | 3.00        
35:01              | 0.10         | 34:26              | 3.00        
35:02              | 0.00         | 34:26              | 2.00        
35:02              | 0.00         | 34:26              | 2.00        
35:03              | 0.10         | 34:27              | 1.00        
35:03              | 0.10         | 34:27              | 1.00        
35:03              | 0.00         | 34:27              | 2.00        
35:03              | 0.00         | 34:27              | 2.00        
35:04              | 0.10         | 34:27              | 1.00        
35:04              | 0.10         | 34:27              | 1.00        
35:05              | 0.00         | 34:28              | 2.00        
35:05              | 0.00         | 34:28              | 2.00        
35:06              | 0.10         | 34:28              | 3.00        
35:07              | 0.00         | 34:28              | 3.00        
35:07              | 0.10         | 34:28              | 3.00        
35:07              | 0.10         | 34:29              | 4.00        
35:08              | 0.00         | 34:29              | 4.00        
35:08              | 0.00         | 34:29              | 5.00        
35:11              | 0.10         | 34:29              | 4.00        
35:12              | 0.00         | 34:29              | 5.00        
35:14              | 0.10         | 34:29              | 4.00        
35:14              | 0.00         | 34:29              | 4.00        
35:14              | 0.10         | 34:30              | 3.00        
35:15              | 0.00         | 34:30              | 3.00        
35:15              | 0.10         | 34:30              | 2.00        
35:17              | 0.00         | 34:30              | 2.00        
35:18              | 0.10         | 34:30              | 3.00        
35:18              | 0.00         | 34:30              | 4.00        
35:19              | 0.10         | 34:30              | 4.00        
35:19              | 0.00         | 34:30              | 3.00        
35:20              | 0.10         | 34:30              | 3.00        
35:20              | 0.10         | 34:31              | 2.00        
35:21              | 0.00         | 34:31              | 2.00        
35:21              | 0.00         | 34:31              | 1.00        
35:27              | 0.10         | 34:31              | 2.00        
35:27              | 0.00         | 34:31              | 3.00        
                   |              | 34:31              | 3.00        
                   |              | 34:31              | 4.00        
                   |              | 34:31              | 4.00        
                   |              | 34:32              | 3.00        
                   |              | 34:32              | 3.00        
                   |              | 34:32              | 4.00        
                   |              | 34:32              | 4.00        
                   |              | 34:32              | 3.00        
                   |              | 34:32              | 3.00        
                   |              | 34:32              | 4.00        
                   |              | 34:32              | 4.00        
                   |              | 34:33              | 5.00        
                   |              | 34:33              | 6.00        
                   |              | 34:33              | 6.00        
                   |              | 34:33              | 5.00        
                   |              | 34:33              | 5.00        
                   |              | 34:34              | 6.00        
                   |              | 34:34              | 6.00        
                   |              | 34:34              | 5.00        
                   |              | 34:34              | 5.00        
                   |              | 34:34              | 6.00        
                   |              | 34:34              | 5.00        
                   |              | 34:34              | 6.00        
                   |              | 34:35              | 5.00        
                   |              | 34:35              | 5.00        
                   |              | 34:35              | 4.00        
                   |              | 34:35              | 4.00        
                   |              | 34:35              | 5.00        
                   |              | 34:35              | 5.00        
                   |              | 34:36              | 6.00        
                   |              | 34:36              | 6.00        
                   |              | 34:36              | 6.00        
                   |              | 34:36              | 5.00        
                   |              | 34:36              | 6.00        
                   |              | 34:36              | 5.00        
                   |              | 34:36              | 5.00        
                   |              | 34:37              | 4.00        
                   |              | 34:37              | 4.00        
                   |              | 34:37              | 1.00        
                   |              | 34:37              | 1.00        
                   |              | 34:37              | 5.00        
                   |              | 34:37              | 4.00        
                   |              | 34:37              | 4.00        
                   |              | 34:37              | 3.00        
                   |              | 34:37              | 0.00        
                   |              | 34:37              | 1.00        
                   |              | 34:38              | 4.00        
                   |              | 34:38              | 4.00        
                   |              | 34:38              | 5.00        
                   |              | 34:38              | 5.00        
                   |              | 34:38              | 4.00        
                   |              | 34:38              | 4.00        
                   |              | 34:39              | 5.00        
                   |              | 34:39              | 5.00        
                   |              | 34:39              | 6.00        
                   |              | 34:39              | 6.00        
                   |              | 34:39              | 7.00        
                   |              | 34:39              | 6.00        
                   |              | 34:39              | 6.00        
                   |              | 34:40              | 5.00        
                   |              | 34:40              | 5.00        
                   |              | 34:40              | 6.00        
                   |              | 34:40              | 6.00        
                   |              | 34:40              | 7.00        
                   |              | 34:40              | 8.00        
                   |              | 34:40              | 8.00        
                   |              | 34:40              | 7.00        
                   |              | 34:40              | 7.00        
                   |              | 34:40              | 6.00        
                   |              | 34:41              | 6.00        
                   |              | 34:41              | 5.00        
                   |              | 34:41              | 6.00        
                   |              | 34:41              | 5.00        
                   |              | 34:41              | 5.00        
                   |              | 34:41              | 5.00        
                   |              | 34:42              | 4.00        
                   |              | 34:42              | 4.00        
                   |              | 34:42              | 5.00        
                   |              | 34:42              | 5.00        
                   |              | 34:42              | 4.00        
                   |              | 34:42              | 4.00        
                   |              | 34:42              | 5.00        
                   |              | 34:42              | 5.00        
                   |              | 34:42              | 4.00        
                   |              | 34:42              | 5.00        
                   |              | 34:43              | 4.00        
                   |              | 34:43              | 4.00        
                   |              | 34:43              | 5.00        
                   |              | 34:43              | 5.00        
                   |              | 34:43              | 6.00        
                   |              | 34:43              | 6.00        
                   |              | 34:44              | 7.00        
                   |              | 34:44              | 7.00        
                   |              | 34:44              | 8.00        
                   |              | 34:44              | 8.00        
                   |              | 34:44              | 9.00        
                   |              | 34:44              | 8.00        
                   |              | 34:44              | 9.00        
                   |              | 34:45              | 9.00        
                   |              | 34:45              | 10.00       
                   |              | 34:45              | 10.00       
                   |              | 34:45              | 9.00        
                   |              | 34:45              | 9.00        
                   |              | 34:45              | 8.00        
                   |              | 34:45              | 8.00        
                   |              | 34:46              | 9.00        
                   |              | 34:46              | 8.00        
                   |              | 34:46              | 9.00        
                   |              | 34:46              | 9.00        
                   |              | 34:46              | 8.00        
                   |              | 34:46              | 8.00        
                   |              | 34:46              | 7.00        
                   |              | 34:46              | 7.00        
